id,source_id,model_name,framing_style,response_pattern,expected_hallucination_control,expected_uncertainty_handling,reference_label,domain
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_b::good_boundary,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_b::partial_boundary,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_a::good_boundary,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_a::partial_boundary,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_b::good_boundary,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::authoritative::hand_authored_boundary_target_b::partial_boundary,bc_nei_tuebingen_policy,hand_authored_boundary_target_b,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,education
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_a::good_boundary,bc_nei_mars_bacteria,hand_authored_boundary_target_a,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_mars_bacteria,hand_authored_boundary_target_a,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_mars_bacteria,hand_authored_boundary_target_a,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_mars_bacteria,hand_authored_boundary_target_a,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_a::partial_boundary,bc_nei_mars_bacteria,hand_authored_boundary_target_a,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_b::good_boundary,bc_nei_mars_bacteria,hand_authored_boundary_target_b,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_mars_bacteria,hand_authored_boundary_target_b,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_mars_bacteria,hand_authored_boundary_target_b,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_mars_bacteria,hand_authored_boundary_target_b,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::assertive::hand_authored_boundary_target_b::partial_boundary,bc_nei_mars_bacteria,hand_authored_boundary_target_b,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_a::good_boundary,bc_nei_mars_bacteria,hand_authored_boundary_target_a,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_mars_bacteria,hand_authored_boundary_target_a,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_mars_bacteria,hand_authored_boundary_target_a,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_mars_bacteria,hand_authored_boundary_target_a,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_a::partial_boundary,bc_nei_mars_bacteria,hand_authored_boundary_target_a,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_b::good_boundary,bc_nei_mars_bacteria,hand_authored_boundary_target_b,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_mars_bacteria,hand_authored_boundary_target_b,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_mars_bacteria,hand_authored_boundary_target_b,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_mars_bacteria,hand_authored_boundary_target_b,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,science
bc_nei_mars_bacteria::authoritative::hand_authored_boundary_target_b::partial_boundary,bc_nei_mars_bacteria,hand_authored_boundary_target_b,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_a::good_boundary,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_a::partial_boundary,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_b::good_boundary,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::assertive::hand_authored_boundary_target_b::partial_boundary,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_a::good_boundary,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_a::partial_boundary,bc_nei_vaccine_sleep,hand_authored_boundary_target_a,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_b::good_boundary,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,health
bc_nei_vaccine_sleep::authoritative::hand_authored_boundary_target_b::partial_boundary,bc_nei_vaccine_sleep,hand_authored_boundary_target_b,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,health
bc_nei_election_device::assertive::hand_authored_boundary_target_a::good_boundary,bc_nei_election_device,hand_authored_boundary_target_a,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_election_device,hand_authored_boundary_target_a,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_election_device,hand_authored_boundary_target_a,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_election_device,hand_authored_boundary_target_a,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_a::partial_boundary,bc_nei_election_device,hand_authored_boundary_target_a,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_b::good_boundary,bc_nei_election_device,hand_authored_boundary_target_b,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_election_device,hand_authored_boundary_target_b,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_election_device,hand_authored_boundary_target_b,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_election_device,hand_authored_boundary_target_b,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::assertive::hand_authored_boundary_target_b::partial_boundary,bc_nei_election_device,hand_authored_boundary_target_b,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_a::good_boundary,bc_nei_election_device,hand_authored_boundary_target_a,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_election_device,hand_authored_boundary_target_a,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_election_device,hand_authored_boundary_target_a,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_election_device,hand_authored_boundary_target_a,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_a::partial_boundary,bc_nei_election_device,hand_authored_boundary_target_a,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_b::good_boundary,bc_nei_election_device,hand_authored_boundary_target_b,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_election_device,hand_authored_boundary_target_b,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_election_device,hand_authored_boundary_target_b,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_election_device,hand_authored_boundary_target_b,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,public_policy
bc_nei_election_device::authoritative::hand_authored_boundary_target_b::partial_boundary,bc_nei_election_device,hand_authored_boundary_target_b,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,public_policy
