id,source_id,target_model,model_name,reference_label,case_categories,selection_reason,source_selection_files,subset_name,subset_type,subset_policy
fever_64843::boundary_hard,fever_64843,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_102702::boundary_hard,fever_102702,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_18615::boundary_hard,fever_18615,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_94038::boundary_hard,fever_94038,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_47540::boundary_hard,fever_47540,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch; nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure. | Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_192836::boundary_hard,fever_192836,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_194477::boundary_hard,fever_194477,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_146332::boundary_hard,fever_146332,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_192833::boundary_hard,fever_192833,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_132541::boundary_hard,fever_132541,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_107134::boundary_hard,fever_107134,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_195032::boundary_hard,fever_195032,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_141131::boundary_hard,fever_141131,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_149251::boundary_hard,fever_149251,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_143582::boundary_hard,fever_143582,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_46726::boundary_hard,fever_46726,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_185392::boundary_hard,fever_185392,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_172473::boundary_hard,fever_172473,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_87192::boundary_hard,fever_87192,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_102734::boundary_hard,fever_102734,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_115546::boundary_hard,fever_115546,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_115546::boundary_hard,fever_115546,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_116064::boundary_hard,fever_116064,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_118874::boundary_hard,fever_118874,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_83529::boundary_hard,fever_83529,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_118874::boundary_hard,fever_118874,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_116064::boundary_hard,fever_116064,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_28370::boundary_hard,fever_28370,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch; nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure. | Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_130368::boundary_hard,fever_130368,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch; nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure. | Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_118114::boundary_hard,fever_118114,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_185397::boundary_hard,fever_185397,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_192980::boundary_hard,fever_192980,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_192976::boundary_hard,fever_192976,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_14762::boundary_hard,fever_14762,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_121113::boundary_hard,fever_121113,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_30186::boundary_hard,fever_30186,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_106417::boundary_hard,fever_106417,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch; direct_vs_full_shift,Full CALE changes the score substantially relative to the backend-specific direct baseline. | Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv; selected_direct_vs_full_shift.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_198011::boundary_hard,fever_198011,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_163989::boundary_hard,fever_163989,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_100973::boundary_hard,fever_100973,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_82608::boundary_hard,fever_82608,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_212320::boundary_hard,fever_212320,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_154348::boundary_hard,fever_154348,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_27399::boundary_hard,fever_27399,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_181845::boundary_hard,fever_181845,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_185425::boundary_hard,fever_185425,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_186983::boundary_hard,fever_186983,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_13218::boundary_hard,fever_13218,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_223766::boundary_hard,fever_223766,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_148988::boundary_hard,fever_148988,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_128176::boundary_hard,fever_128176,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_191252::boundary_hard,fever_191252,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,boundary_indicator_mismatch,Real NEI case where hallucination_control and uncertainty_handling separate.,selected_boundary_indicator_mismatch.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
